Point ID,density,E-Modul,Poissons ratio,porosity
14496,1,194280,0.3,0.906426
14497,0.958423,166855,0.3,0.914258
14498,0.837472,113523,0.3,0.902481
14499,0.621753,51053.4,0.3,0.881906
14500,0.374914,7030.47,0.3,0.874182
14501,0.186869,521.61,0.3,0.884558
14502,0.0705955,14.6409,0.3,0.904124
14503,0.0164367,0.0470106,0.3,0.925203
14504,0.001,0.000200692,0.3,0.944593
14505,0.001,0.000203468,0.3,0.961116
14506,0.001,0.000203821,0.3,0.963221
14507,0.001,0.000198742,0.3,0.932986
14508,0.001,0.000190171,0.3,0.881968
14509,0.001,0.000179728,0.3,0.819808
14510,0.001,0.000170046,0.3,0.762178
14511,0.001,0.000164577,0.3,0.729622
14512,0.001,0.000161715,0.3,0.712586
14513,0.001,0.000160176,0.3,0.703429
14514,0.001,0.000159194,0.3,0.697582
14515,0.001,0.000158467,0.3,0.693256
14516,0.001,0.000157968,0.3,0.690283
14517,0.001,0.000157695,0.3,0.688659
14518,0.001,0.000157667,0.3,0.688492
14519,0.001,0.000157924,0.3,0.690025
14520,0.001,0.000158552,0.3,0.693759
14521,0.001,0.000159733,0.3,0.700788
14522,0.001,0.000161787,0.3,0.713014
14523,0.001,0.000165056,0.3,0.732475
14524,0.0201222,0.125953,0.3,0.767257
14525,0.120922,108.829,0.3,0.853932
14526,0.352898,6439.67,0.3,0.956929
14527,0.685504,70140.2,0.3,0.998135
14528,0.933906,168809,0.3,1
14529,1,202421,0.3,0.954888
14530,1,192825,0.3,0.897769
14531,1,194313,0.3,0.906624
14532,1,201471,0.3,0.949233
14533,1,207562,0.3,0.98549
14534,1,210000,0.3,1
14535,1,210000,0.3,1
14536,1,210000,0.3,1
14537,1,210000,0.3,1
14538,1,210000,0.3,1
14539,1,210000,0.3,1
14540,1,210000,0.3,1
14541,1,207715,0.3,0.986398
14542,1,198825,0.3,0.93348
14543,1,195175,0.3,0.911755
14544,1,204027,0.3,0.964446
14545,0.984819,195844,0.3,0.999773
14546,0.868637,128163,0.3,0.999394
14547,0.668509,49462.6,0.3,0.997417
14548,0.508278,17279.7,0.3,0.987752
14549,0.414642,8049.83,0.3,0.97033
14550,0.366324,5137.38,0.3,0.954343
14551,0.344088,4086.73,0.3,0.942095
14552,0.335673,3711.31,0.3,0.932564
14553,0.333946,3620.61,0.3,0.925303
14554,0.335449,3661.74,0.3,0.919854
14555,0.338428,3765.41,0.3,0.91579
14556,0.341933,3895.14,0.3,0.912761
14557,0.345512,4029.52,0.3,0.910504
14558,0.348895,4157.31,0.3,0.908821
14559,0.351864,4272.88,0.3,0.907566
14560,0.35439,4373.94,0.3,0.906631
14561,0.356496,4460.12,0.3,0.905935
14562,0.358223,4532.1,0.3,0.905422
14563,0.35962,4591.12,0.3,0.905045
14564,0.360732,4638.62,0.3,0.904773
14565,0.3616,4676.06,0.3,0.90458
14566,0.362262,4704.75,0.3,0.904447
14567,0.362745,4725.84,0.3,0.904358
14568,0.363075,4740.24,0.3,0.904302
14569,0.363266,4748.62,0.3,0.904272
14570,0.363329,4751.37,0.3,0.904262
14571,0.363266,4748.62,0.3,0.904272
14572,0.363075,4740.24,0.3,0.904302
14573,0.362745,4725.84,0.3,0.904358
14574,0.362262,4704.75,0.3,0.904447
14575,0.3616,4676.06,0.3,0.90458
14576,0.360732,4638.62,0.3,0.904773
14577,0.35962,4591.12,0.3,0.905045
14578,0.358223,4532.1,0.3,0.905422
14579,0.356496,4460.12,0.3,0.905935
14580,0.35439,4373.94,0.3,0.906631
14581,0.351864,4272.88,0.3,0.907566
14582,0.348895,4157.31,0.3,0.908821
14583,0.345512,4029.52,0.3,0.910504
14584,0.341933,3895.14,0.3,0.912761
14585,0.338428,3765.41,0.3,0.91579
14586,0.335449,3661.74,0.3,0.919854
14587,0.333946,3620.61,0.3,0.925303
14588,0.335673,3711.31,0.3,0.932564
14589,0.344088,4086.73,0.3,0.942095
14590,0.366324,5137.38,0.3,0.954343
14591,0.414642,8049.83,0.3,0.97033
14592,0.508278,17279.7,0.3,0.987752
14593,0.668509,49462.6,0.3,0.997417
14594,0.868637,128163,0.3,0.999394
14595,0.984819,195844,0.3,0.999773
14596,1,204027,0.3,0.964446
14597,1,195175,0.3,0.911755
14598,1,198825,0.3,0.93348
14599,1,207715,0.3,0.986398
14600,1,210000,0.3,1
14601,1,210000,0.3,1
14602,1,210000,0.3,1
14603,1,210000,0.3,1
14604,1,210000,0.3,1
14605,1,210000,0.3,1
14606,1,210000,0.3,1
14607,1,207562,0.3,0.98549
14608,1,201471,0.3,0.949233
14609,1,194313,0.3,0.906624
14610,1,192825,0.3,0.897769
14611,1,202421,0.3,0.954888
14612,0.933906,168809,0.3,1
14613,0.685504,70140.2,0.3,0.998135
14614,0.352898,6439.67,0.3,0.956929
14615,0.120922,108.829,0.3,0.853932
14616,0.0201222,0.125953,0.3,0.767257
14617,0.001,0.000165056,0.3,0.732475
14618,0.001,0.000161787,0.3,0.713014
14619,0.001,0.000159733,0.3,0.700788
14620,0.001,0.000158552,0.3,0.693759
14621,0.001,0.000157924,0.3,0.690025
14622,0.001,0.000157667,0.3,0.688492
14623,0.001,0.000157695,0.3,0.688659
14624,0.001,0.000157968,0.3,0.690283
14625,0.001,0.000158467,0.3,0.693256
14626,0.001,0.000159194,0.3,0.697582
14627,0.001,0.000160176,0.3,0.703429
14628,0.001,0.000161715,0.3,0.712586
14629,0.001,0.000164577,0.3,0.729622
14630,0.001,0.000170046,0.3,0.762178
14631,0.001,0.000179728,0.3,0.819808
14632,0.001,0.000190171,0.3,0.881968
14633,0.001,0.000198742,0.3,0.932986
14634,0.001,0.000203821,0.3,0.963221
14635,0.001,0.000203468,0.3,0.961116
14636,0.001,0.000200692,0.3,0.944593
14637,0.0164367,0.0470106,0.3,0.925203
14638,0.0705955,14.6409,0.3,0.904124
14639,0.186869,521.61,0.3,0.884558
14640,0.374914,7030.47,0.3,0.874182
14641,0.621753,51053.4,0.3,0.881906
14642,0.837472,113523,0.3,0.902481
14643,0.958423,166855,0.3,0.914258
14644,1,194280,0.3,0.906426
14645,1,191446,0.3,0.889558
14646,1,189719,0.3,0.879281
14647,1,190301,0.3,0.882742
14648,1,193441,0.3,0.901432
14649,1,199115,0.3,0.935209
14650,0.989259,194578,0.3,0.969649
14651,0.899982,151446,0.3,0.985617
14652,0.704468,75729.8,0.3,0.987921
14653,0.464799,19407.5,0.3,0.988352
14654,0.251444,1912.08,0.3,0.991179
14655,0.10876,83.0415,0.3,0.958946
14656,0.0341019,0.940869,0.3,0.884838
14657,0.006231,0.000424621,0.3,0.828077
14658,0.001,0.000180039,0.3,0.821661
14659,0.001,0.00018717,0.3,0.864107
14660,0.001,0.000192438,0.3,0.895462
14661,0.00386208,0.000208239,0.3,0.981176
14662,0.00771014,0.000477482,0.3,0.956496
14663,0.0272682,0.231268,0.3,0.922648
14664,0.0793665,21.3356,0.3,0.928531
14665,0.187327,594.007,0.3,0.968888
14666,0.364978,7590.8,0.3,0.995247
14667,0.605763,53752,0.3,0.994858
14668,0.820267,116430,0.3,0.996332
14669,0.950031,172204,0.3,0.984791
14670,1,201721,0.3,0.950721
14671,1,194995,0.3,0.910682
14672,1,189668,0.3,0.878978
14673,1,187392,0.3,0.865429
14674,1,187951,0.3,0.868757
14675,1,190940,0.3,0.886547
